number,name
1,"('Microsoft', 4)&('University of Science and Technology of China', 2)&('Shanghai Jiao Tong University', 1)&('Peking University', 1)&('Tongji University', 1)"
2,"('Rutgers University', 3)&('IBM', 2)&('Binghamton University', 1)&('SenseTime', 1)&('Facebook', 1)"
3,"('Baidu', 2)&('The Chinese University of Hong Kong', 1)"
4,"('The Chinese University of Hong Kong', 6)&('Tsinghua University', 1)&('Johns Hopkins University', 1)"
5,"('Max Planck Society', 7)"
6,
7,"('University of Adelaide', 2)&('Nanjing University of Science and Technology', 2)&('Nanjing University', 1)"
8,"('New York University', 5)"
9,"('Imperial College London', 2)&('University of Nottingham', 2)"
10,"('State University of New York System', 2)&('Chinese Academy of Sciences', 2)"
11,
12,"('Carnegie Mellon University', 4)"
13,"('Weizmann Institute of Science', 4)"
14,"('Northwestern University', 3)"
15,"('National Tsing Hua University', 3)"
16,"('University of Missouri', 2)&('Shenzhen University', 1)"
17,"('Norwegian University of Science and Technology', 1)"
18,"('University of Electronic Science and Technology of China', 2)"
19,"('University of Michigan', 3)"
20,"('Southeast University', 2)&('Nanjing University of Science and Technology', 1)"
21,"('Rochester Institute of Technology', 2)"
