"author","community"
"Yu Chen",7
"Chunhua Shen",7
"Xiu-Shen Wei",7
"Lingqiao Liu",7
"Jian Yang",7
"Zhihui Su",6
"Ming Ye",6
"Guohui Zhang",6
"Lei Dai",6
"Jianda Sheng",6
"Shih-En Wei",12
"Varun Ramakrishna",12
"Takeo Kanade",12
"Yaser Sheikh",12
"Zhiqiang Tang",2
"Xi Peng",2
"Shijie Geng",2
"Yizhe Zhu",2
"Dimitris N. Metaxas",2
"Ke Sun",1
"Bin Xiao",1
"Dong Liu",1
"Jingdong Wang",1
"Leonid Pishchulin",5
"Eldar Insafutdinov",5
"Siyu Tang",5
"Bjoern Andres",5
"Mykhaylo Andriluka",5
"Peter V. Gehler",5
"Bernt Schiele",5
"Eldar Insafutdinov",5
"Leonid Pishchulin",5
"Bjoern Andres",5
"Mykhaylo Andriluka",5
"Bernt Schiele",5
"Wei Tang",14
"Pei Yu",14
"Ying Wu",14
"Jonathan Tompson",8
"Ross Goroshin",8
"Arjun Jain",8
"Yann LeCun",8
"Christoph Bregler",8
"Daniel Groos",17
"Heri Ramampiaro",17
"Espen A. F. Ihlen",17
"Daniel Groos",17
"Heri Ramampiaro",17
"Espen A. F. Ihlen",17
"Daniel Groos",17
"Heri Ramampiaro",17
"Espen A. F. Ihlen",17
"Feng Zhang",18
"Xiatian Zhu",18
"Mao Ye",18
"Ita Lifshitz",13
"Ethan Fetaya",13
"S. Ullman Ashua",13
"Shimon Ullman",13
"Adrian Bulat",9
"Georgios Tzimiropoulos",9
"Adrian Bulat",9
"Georgios Tzimiropoulos",9
"Hong Zhang",3
"Hao Ouyang",3
"Shu Liu",3
"Xiaojuan Qi",3
"Xiaoyong Shen",3
"Yang Ruigang",3
"Ruigang Yang",3
"Jiaya Jia",3
"Xiao Sun",1
"Bin Xiao",1
"Fangyin Wei",1
"Shuang Liang",1
"Yichen Wei",1
"Xi Peng",2
"Zhiqiang Tang",2
"Fei Yang",2
"Rogério Schmidt Feris",2
"Dimitris N. Metaxas",2
"Guanghan Ning",16
"Zhi Zhang",16
"Zhihai He",16
"Wei Yang",4
"Shuang Li",4
"Wanli Ouyang",4
"Hongsheng Li",4
"Xiaogang Wang",4
"Xiao Chu",4
"Wei Yang",4
"Wanli Ouyang",4
"Cheng Ma",4
"Alan L. Yuille",4
"Xiaogang Wang",4
"Lipeng Ke",10
"Ming-Ching Chang",10
"Honggang Qi",10
"Siwei Lyu",10
"Aiden Nibali",11
"Zhen He",11
"Stuart Morgan",11
"Luke A. Prendergast",11
"Sen Yang",20
"Wankou Yang",20
"Zhen Cui",20
"Zhiqiang Tang",2
"Xi Peng",2
"Shijie Geng",2
"Lingfei Wu",2
"Shaoting Zhang",2
"Dimitris N. Metaxas",2
"Wenbo Li",1
"Zhicheng Wang",1
"Binyi Yin",1
"Qixiang Peng",1
"Yuming Du",1
"Tianzi Xiao",1
"Gang Yu",1
"Hongtao Lu",1
"Yichen Wei",1
"Jian Sun",1
"Chia-Jung Chou",15
"Jui-Ting Chien",15
"Hwann-Tzong Chen",15
"Alejandro Newell",19
"Kaiyu Yang",19
"Jia Deng",19
"Jean Kossaifi",9
"Adrian Bulat",9
"Georgios Tzimiropoulos",9
"Maja Pantic",9
"Adrian Bulat",9
"Jean Kossaifi",9
"Georgios Tzimiropoulos",9
"Maja Pantic",9
"Bruno Artacho",21
"Andreas Savakis",21
