"title","authors","affiliations","paper_date","metric","year"
"Toward fast and accurate human pose estimation via soft-gated skip connections@@@Soft-gated Skip Connections","Adrian Bulat","",2020-02-25,"94.1",2020
"Toward fast and accurate human pose estimation via soft-gated skip connections@@@Soft-gated Skip Connections","Jean Kossaifi","",2020-02-25,"94.1",2020
"Toward fast and accurate human pose estimation via soft-gated skip connections@@@Soft-gated Skip Connections","Georgios Tzimiropoulos","Samsung",2020-02-25,"94.1",2020
"Toward fast and accurate human pose estimation via soft-gated skip connections@@@Soft-gated Skip Connections","Maja Pantic","Samsung",2020-02-25,"94.1",2020
"Cascade Feature Aggregation for Human Pose Estimation@@@Cascade Feature Aggregation","Zhihui Su","",2019-02-21,"93.9",2019
"Cascade Feature Aggregation for Human Pose Estimation@@@Cascade Feature Aggregation","Ming Ye","",2019-02-21,"93.9",2019
"Cascade Feature Aggregation for Human Pose Estimation@@@Cascade Feature Aggregation","Guohui Zhang","",2019-02-21,"93.9",2019
"Cascade Feature Aggregation for Human Pose Estimation@@@Cascade Feature Aggregation","Lei Dai","",2019-02-21,"93.9",2019
"Cascade Feature Aggregation for Human Pose Estimation@@@Cascade Feature Aggregation","Jianda Sheng","",2019-02-21,"93.9",2019
"UniPose: Unified Human Pose Estimation in Single Images and Videos@@@UniPose","Bruno Artacho","Rochester Institute of Technology",2020-01-22,"92.7",2020
"UniPose: Unified Human Pose Estimation in Single Images and Videos@@@UniPose","Andreas Savakis","Rochester Institute of Technology",2020-01-22,"92.7",2020
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Wenbo Li","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Zhicheng Wang","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Binyi Yin","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Qixiang Peng","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Yuming Du","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Tianzi Xiao","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Gang Yu","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Hongtao Lu","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Yichen Wei","",2019-01-01,"92.6%",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Jian Sun","Shanghai Jiao Tong University",2019-01-01,"92.6%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Hong Zhang","",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Hao Ouyang","",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Shu Liu","",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Xiaojuan Qi","",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Xiaoyong Shen","",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Yang Ruigang","Baidu",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Ruigang Yang","Baidu",2019-01-07,"92.5%",2019
"Human Pose Estimation with Spatial Contextual Information@@@Spatial Context","Jiaya Jia","The Chinese University of Hong Kong",2019-01-07,"92.5%",2019
"Deep High-Resolution Representation Learning for Human Pose Estimation@@@HRNet-W32","Ke Sun","University of Science and Technology of China",2019-02-25,"92.3%",2019
"Deep High-Resolution Representation Learning for Human Pose Estimation@@@HRNet-W32","Bin Xiao","Microsoft",2019-02-25,"92.3%",2019
"Deep High-Resolution Representation Learning for Human Pose Estimation@@@HRNet-W32","Dong Liu","University of Science and Technology of China",2019-02-25,"92.3%",2019
"Deep High-Resolution Representation Learning for Human Pose Estimation@@@HRNet-W32","Jingdong Wang","Microsoft",2019-02-25,"92.3%",2019
"Deeply Learned Compositional Models for Human Pose Estimation@@@DLCM","Wei Tang","Northwestern University",2018-09-01,"92.3",2018
"Deeply Learned Compositional Models for Human Pose Estimation@@@DLCM","Pei Yu","Northwestern University",2018-09-01,"92.3",2018
"Deeply Learned Compositional Models for Human Pose Estimation@@@DLCM","Ying Wu","Northwestern University",2018-09-01,"92.3",2018
"Multi-Scale Structure-Aware Network for Human Pose Estimation@@@Multi-Scale Structure-Aware Network","Lipeng Ke","Chinese Academy of Sciences",2018-03-27,"92.1%",2018
"Multi-Scale Structure-Aware Network for Human Pose Estimation@@@Multi-Scale Structure-Aware Network","Ming-Ching Chang","State University of New York System",2018-03-27,"92.1%",2018
"Multi-Scale Structure-Aware Network for Human Pose Estimation@@@Multi-Scale Structure-Aware Network","Honggang Qi","Chinese Academy of Sciences",2018-03-27,"92.1%",2018
"Multi-Scale Structure-Aware Network for Human Pose Estimation@@@Multi-Scale Structure-Aware Network","Siwei Lyu","State University of New York System",2018-03-27,"92.1%",2018
"Learning Feature Pyramids for Human Pose Estimation@@@Pyramid Residual Modules (PRMs)","Wei Yang","The Chinese University of Hong Kong",2017-08-03," 92.0%",2017
"Learning Feature Pyramids for Human Pose Estimation@@@Pyramid Residual Modules (PRMs)","Shuang Li","The Chinese University of Hong Kong",2017-08-03," 92.0%",2017
"Learning Feature Pyramids for Human Pose Estimation@@@Pyramid Residual Modules (PRMs)","Wanli Ouyang","The Chinese University of Hong Kong",2017-08-03," 92.0%",2017
"Learning Feature Pyramids for Human Pose Estimation@@@Pyramid Residual Modules (PRMs)","Hongsheng Li","The Chinese University of Hong Kong",2017-08-03," 92.0%",2017
"Learning Feature Pyramids for Human Pose Estimation@@@Pyramid Residual Modules (PRMs)","Xiaogang Wang","The Chinese University of Hong Kong",2017-08-03," 92.0%",2017
"Adversarial PoseNet: A Structure-aware Convolutional Network for Human Pose Estimation@@@Chen et al. ICCV'17","Yu Chen","Nanjing University of Science and Technology",2017-04-30,"91.9%",2017
"Adversarial PoseNet: A Structure-aware Convolutional Network for Human Pose Estimation@@@Chen et al. ICCV'17","Chunhua Shen","University of Adelaide",2017-04-30,"91.9%",2017
"Adversarial PoseNet: A Structure-aware Convolutional Network for Human Pose Estimation@@@Chen et al. ICCV'17","Xiu-Shen Wei","Nanjing University",2017-04-30,"91.9%",2017
"Adversarial PoseNet: A Structure-aware Convolutional Network for Human Pose Estimation@@@Chen et al. ICCV'17","Lingqiao Liu","University of Adelaide",2017-04-30,"91.9%",2017
"Adversarial PoseNet: A Structure-aware Convolutional Network for Human Pose Estimation@@@Chen et al. ICCV'17","Jian Yang","Nanjing University of Science and Technology",2017-04-30,"91.9%",2017
"Self Adversarial Training for Human Pose Estimation@@@Chou et al. arXiv'17","Chia-Jung Chou","National Tsing Hua University",2017-07-08,"91.8%",2017
