institution,counter
National Institute of Informatics,1
Nara Institute of Science and Technology,1
University of Washington,14
Beihang University,24
Google,24
Carnegie Mellon University,20
Facebook,11
Allen Institute for Artificial Intelligence,13
Stanford University,11
Fudan University,14
National University of Defense Technology,14
Microsoft,14
Harbin Institute of Technology,14
Peking University,14
Johns Hopkins University,14
Samsung,1
Salesforce.com,5
Singapore University of Technology and Design,3
University of Rochester,3
Amazon.com,3
IBM,4
Korea University,3
Cornell University,1
Massachusetts Institute of Technology,1
German Research Centre for Artificial Intelligence,2
Singapore Management University,4
University of São Paulo,1
Université de Montréal,3
Moscow Institute of Physics and Technology,1
Nvidia,1
Baidu,2
University College London,1
