number,name
1,"('Microsoft', 14)&('National University of Defense Technology', 4)&('Harbin Institute of Technology', 2)&('Beihang University', 1)&('Peking University', 1)&('Fudan University', 1)&('Johns Hopkins University', 1)"
2,"('Google', 6)&('Facebook', 5)&('University of Washington', 5)&('Allen Institute for Artificial Intelligence', 3)&('Stanford University', 1)&('Carnegie Mellon University', 1)"
3,"('Carnegie Mellon University', 12)&('Google', 6)&('Beihang University', 1)"
4,
5,
6,"('Baidu', 7)"
7,"('University of Rochester', 2)&('IBM', 1)&('Singapore University of Technology and Design', 1)&('Amazon.com', 1)"
8,"('University of São Paulo', 5)"
9,"('Université de Montréal', 1)&('Google', 1)"
10,"('IBM', 6)"
11,"('Nara Institute of Science and Technology', 2)&('University of Washington', 1)&('National Institute of Informatics', 1)"
12,"('Massachusetts Institute of Technology', 2)&('Stanford University', 1)&('Cornell University', 1)"
13,"('Salesforce.com', 5)"
14,"('Allen Institute for Artificial Intelligence', 2)&('Korea University', 1)&('University of Washington', 1)"
15,"('Samsung', 3)"
16,"('German Research Centre for Artificial Intelligence', 1)"
17,"('Nvidia', 3)"
18,"('Google', 1)"
19,"('Singapore Management University', 2)"
20,"('Moscow Institute of Physics and Technology', 1)"
21,"('University College London', 1)&('Facebook', 1)"
