"author","community"
"Alvaro H. C. Correia",8
"H. C. Alvaro Correia",8
"L. M. Jorge Silva",8
"C. Thiago de Martins",8
"G. Fabio Cozman",8
"Fabio Gagliardi Cozman",8
"Seunghak Yu",15
"Sathish Reddy Indurthi",15
"Seohyun Back",15
"Haejun Lee",15
"Yuri Kuratov",20
"Mikhail Arkhipov",20
"Jacob Devlin",2
"Ming-Wei Chang",2
"Kenton Lee",2
"Kristina Toutanova",2
"Jacob Devlin",2
"Ming-Wei Chang",2
"Kenton Lee",2
"Kristina Toutanova",2
"Minjoon Seo",14
"Aniruddha Kembhavi",14
"Ali Farhadi",14
"Hannaneh Hajishirzi",14
"Minjoon Seo",14
"Aniruddha Kembhavi",14
"Ali Farhadi",14
"Hannaneh Hajishirzi",14
"Shimi Salant",2
"Jonathan Berant",2
"Shimi Salant",2
"Jonathan Berant",2
"Caiming Xiong",13
"Victor Zhong",13
"Richard Socher",13
"Caiming Xiong",13
"Victor Zhong",13
"Richard Socher",13
"Matthew E. Peters",2
"Mark Neumann",2
"Mohit Iyyer",2
"Matt Gardner",2
"Christopher Clark",2
"Kenton Lee",2
"Luke Zettlemoyer",2
"Matthew E. Peters",2
"Mark Neumann",2
"Mohit Iyyer",2
"Matt Gardner",2
"Christopher Clark",2
"Kenton Lee",2
"Luke Zettlemoyer",2
"Caiming Xiong",13
"Victor Zhong",13
"Richard Socher",13
"Caiming Xiong",13
"Victor Zhong",13
"Richard Socher",13
"Yang Yu",10
"Wei Zhang",10
"Bowen Zhou",10
"Kazi Saidul Hasan",10
"Mo Yu",10
"Bing Xiang",10
"Dongling Xiao",6
"Han Zhang",6
"Li Yukun",6
"Yu Sun",6
"Hao Tian",6
"Hua Wu",6
"Haifeng Wang",6
"Dongling Xiao",6
"Han Zhang",6
"Li Yukun",6
"Yu Sun",6
"Hao Tian",6
"Hua Wu",6
"Haifeng Wang",6
"Tom Hosking",21
"Sebastian Riedel",21
"Chao Wang",5
"Hui Jiang",5
"Junbei Zhang",5
"Xiaodan Zhu",5
"Qian Chen",5
"Li-Rong Dai",5
