"title","authors","affiliations","paper_date","metric","year"
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Ikuya Yamada","",2020-10-02,"95.4",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Akari Asai","University of Washington",2020-10-02,"95.4",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Hiroyuki Shindo","Nara Institute of Science and Technology",2020-10-02,"95.4",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Hideaki Takeda","National Institute of Informatics",2020-10-02,"95.4",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Yuji Matsumoto","Nara Institute of Science and Technology",2020-10-02,"95.4",2020
"@@@XLNet (single model)","","",NA,"95.080",NA
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Zhilin Yang","Carnegie Mellon University",2019-06-19,"95.080",2019
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Zihang Dai","Carnegie Mellon University",2019-06-19,"95.080",2019
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Yiming Yang","Carnegie Mellon University",2019-06-19,"95.080",2019
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Jaime G. Carbonell","Carnegie Mellon University",2019-06-19,"95.080",2019
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Ruslan Salakhutdinov","Carnegie Mellon University",2019-06-19,"95.080",2019
"XLNet: Generalized Autoregressive Pretraining for Language Understanding@@@XLNet (single model)","Quoc V. Le","Google",2019-06-19,"95.080",2019
"@@@XLNET-123++ (single model)","","",NA,"94.903",NA
"@@@XLNET-123+ (single model)","","",NA,"94.859",NA
"@@@XLNET-123 (single model)","","",NA,"94.930",NA
"@@@Unnamed submission by NMC","","",NA,"94.584",NA
"@@@BERTSP (single model)","","",NA,"94.584",NA
"@@@SpanBERT (single model)","","",NA,"94.635",NA
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Mandar Joshi","University of Washington",2019-07-24,"94.6",2019
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Danqi Chen","Princeton University",2019-07-24,"94.6",2019
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Yinhan Liu","Facebook",2019-07-24,"94.6",2019
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Daniel S. Weld","University of Washington",2019-07-24,"94.6",2019
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Luke Zettlemoyer","University of Washington",2019-07-24,"94.6",2019
"SpanBERT: Improving Pre-training by Representing and Predicting Spans@@@SpanBERT (single model)","Omer Levy","Facebook",2019-07-24,"94.6",2019
"@@@BERT+WWM+MT (single model)","","",NA,"94.393",NA
"@@@Tuned BERT-1seq Large Cased (single model)","","",NA,"93.294",NA
