institution,counter
University of Wisconsin-Madison,1
Amazon.com,1
Seoul National University,1
Adobe Systems,1
Alibaba Group,1
Nanyang Technological University,1
Institute for Infocomm Research Singapore,1
"University of Maryland, College Park",1
University of Waterloo,2
Facebook,1
Carnegie Mellon University,1
IBM,2
Columbia University,1
University of Pennsylvania,1
University of Oxford,5
Huazhong University of Science and Technology,1
Northwestern University,1
University of Massachusetts Medical School,1
Princeton University,1
University of Notre Dame,1
Duke University,1
Google,2
