number,name
1,"('Duke University', 7)&('University of Notre Dame', 2)&('Princeton University', 1)"
2,"('Facebook', 4)&('Carnegie Mellon University', 1)&('University of Waterloo', 1)"
3,"('Huazhong University of Science and Technology', 2)&('IBM', 2)&('Northwestern University', 1)"
4,"('Adobe Systems', 3)&('Seoul National University', 2)"
5,"('Alibaba Group', 2)"
6,"('University of Oxford', 1)"
7,"('Amazon.com', 2)&('University of Wisconsin-Madison', 1)"
8,"('Nanyang Technological University', 2)&('Institute for Infocomm Research Singapore', 1)"
9,"('University of Waterloo', 2)&('University of Maryland, College Park', 1)"
10,"('IBM', 3)"
11,"('University of Pennsylvania', 1)&('Columbia University', 1)"
12,"('University of Massachusetts Medical School', 2)"
13,"('Google', 2)"
