"author","community"
"Seunghyun Yoon",4
"Franck Dernoncourt",4
"Doo Soon Kim",4
"Trung Bui",4
"Kyomin Jung",4
"Shuangjie Xu",3
"Yu Cheng",3
"Kang Gu",3
"Yang Yang",3
"Shiyu Chang",3
"Pan Zhou",3
"Dinghan Shen",1
"Guoyin Wang",1
"Wenlin Wang",1
"Martin Renqiang Min",1
"Qinliang Su",1
"Zhang Yizhe",1
"Yizhe Zhang",1
"Chunyuan Li",1
"Ricardo Henao",1
"Lawrence Carin",1
"Lei Yu",6
"Karl Moritz Hermann",6
"Phil Blunsom",6
"Stephen Pulman",6
"Lei Yu",6
"Karl Moritz Hermann",6
"Phil Blunsom",6
"Stephen Pulman",6
"Quoc V. Le",13
"Tomas Mikolov",13
"Quoc V. Le",13
"Tomas Mikolov",13
"Yi Tay",8
"Luu Anh Tuan",8
"Siu Cheung Hui",8
"Alexander H. Miller",2
"Adam Fisch",2
"Jesse Dodge",2
"Amir-Hossein Karimi",2
"Antoine Bordes",2
"Jason Weston",2
"Tsendsuren Munkhdalai",12
"Hong Yu",12
"Yishu Miao",6
"Lei Yu",6
"Phil Blunsom",6
"Yishu Miao",6
"Lei Yu",6
"Phil Blunsom",6
"Yishu Miao",6
"Lei Yu",6
"Phil Blunsom",6
"Zhuang Ma",11
"Michael Collins",11
"Hua He",9
"James Jeng-Weei Lin",9
"Jimmy Lin",9
"Zhiguo Wang",10
"Haitao Mi",10
"Abraham Ittycheriah",10
"Runqi Yang",5
"Jianhai Zhang",5
"Xing Gao",5
"Feng Ji",5
"Haiqing Chen",5
"Siddhant Garg",7
"Thuy Vu",7
"Alessandro Moschitti",7
