institution,counter
Southern University of Science and Technology,1
Mahidol University,1
Mahidol University International College,1
Huawei,1
Carnegie Mellon University,8
Google,8
"National University of Ireland, Galway",1
Norwegian University of Science and Technology,1
Tsinghua University,1
Rutgers University,3
OpenAI,1
Kyoto University,1
Fudan University,5
Salesforce.com,1
Beijing Institute of Technology,1
University of Cambridge,1
Cardiff University,1
University of Rochester,1
National University of Singapore,1
Purdue University,1
Zhejiang University,1
"University of California, Los Angeles",1
Massachusetts Institute of Technology,1
Harvard University,1
Federal University of Pernambuco,1
University of Wisconsin-Madison,1
Facebook,1
Princeton University,1
École Polytechnique,1
University of Virginia,1
University of Waterloo,1
