"communities","year","papers","results","authors","SOTA"
"1",2018,3,3,9,2
"1",2019,2,2,8,1
"11",2019,1,1,4,1
"12",2017,1,1,4,1
"13",2019,1,1,4,1
"14",2017,1,1,4,1
"15",2019,1,1,4,1
"16",2016,1,1,3,1
"17",2018,1,1,3,1
"18",2019,1,1,3,1
"19",2019,1,1,2,1
"2",2017,1,1,3,1
"2+3",2020,1,1,11,1
"20",2018,1,1,2,1
"21",2014,1,1,2,1
"21",2015,1,1,2,NA
"21",2016,1,1,2,1
"22",2017,1,1,2,1
"23",2020,1,1,2,1
"24",2017,1,1,1,1
"3",2014,1,1,2,1
"3",2019,4,3,9,2
"3",2020,1,1,3,NA
"4",2018,1,1,6,1
"6",2020,1,1,6,1
"7",2018,1,1,6,1
"8",2018,1,1,5,1
"9",2019,1,1,5,1
