"author","community"
"Mikhail Khodak","7"
"Nikunj Saunshi","7"
"Yingyu Liang","7"
"Tengyu Ma","7"
"Brandon M. Stewart","7"
"Sanjeev Arora","7"
"Takeru Miyato","16"
"Andrew M. Dai","16"
"Ian Goodfellow","16"
"Manzil Zaheer","2+3"
"Guru Guruganesh","2+3"
"Avinava Dubey","2+3"
"Joshua Ainslie","2+3"
"Chris Alberti","2+3"
"Santiago Ontañón","2+3"
"Philip Pham","2+3"
"Anirudh Ravula","2+3"
"Qifan Wang","2+3"
"Li Yang","2+3"
"Amr Ahmed","2+3"
"Zihao Ye","1"
"Qipeng Guo","1"
"Quan Gan","1"
"Xipeng Qiu","1"
"Zheng Zhang","1"
"Maruan Al-Shedivat","2"
"Avinava Dubey","2"
"Eric P. Xing","2"
"T. Konstantin Rusch","23"
"Siddhartha Mishra","23"
"Victor Sanh","13"
"Lysandre Debut","13"
"Julien Chaumond","13"
"Thomas Wolf","13"
"Quoc V. Le","3"
"Tomas Mikolov","3"
"Ashutosh Adhikari","9"
"Achyudh Ram","9"
"Raphael Tang","9"
"James Jeng-Weei Lin","9"
"Jimmy Lin","9"
"Rie Johnson","21"
"Tong Zhang","21"
"Minmin Chen","24"
"Xinliang Wang","12"
"Weifeng Liu","12"
"Wei Xue","12"
"Li Wu","12"
"Lu Haonan","11"
"Seth H. Huang","11"
"Tian Ye","11"
"Guo Xiuyan","11"
"Jader Abreu","15"
"Luis Fred","15"
"David Macêdo","15"
"Cleber Zanchettin","15"
"Chi Sun","1"
"Xipeng Qiu","1"
"Yige Xu","1"
"Xuanjing Huang","1"
"Jingjing Gong","1"
"Xipeng Qiu","1"
"Shaojing Wang","1"
"Xuanjing Huang","1"
"Jingjing Gong","1"
"Xipeng Qiu","1"
"Shaojing Wang","1"
"Xuanjing Huang","1"
"Bryan McCann","14"
"James Bradbury","14"
"Caiming Xiong","14"
"Richard Socher","14"
"Tao Gui","1"
"Qi Zhang","1"
"Lujun Zhao","1"
"Yaosong Lin","1"
"Minlong Peng","1"
"Jingjing Gong","1"
"Xuanjing Huang","1"
"Giannis Nikolentzos","18"
"Antoine J.-P. Tixier","18"
"Michalis Vazirgiannis","18"
"Youngjune Gwon","6"
"Miriam Cha","6"
"William M. Campbell","6"
"H.T. King","6"
"H. T. Kung","6"
"Charlie K. Dagli","6"
"Jose Camacho-Collados","22"
"Mohammad Taher Pilehvar","22"
"Guoji Fu","10"
"Bo Yuan","10"
"Qiqi Duan","10"
"Xin Yao","10"
"Devendra Singh Sachan","3"
"Manzil Zaheer","3"
"Ruslan Salakhutdinov","3"
"Kamran Kowsari","8"
"Mojtaba Heidarysafa","8"
"Donald E. Brown","8"
"Kiana Jafari Meimandi","8"
"Laura E. Barnes","8"
"Rie Johnson","21"
"Tong Zhang","21"
"Yue Zhang","17"
"Qi Liu","17"
"Linfeng Song","17"
"Tan Thongtan","19"
"Tanasanee Phienthrakul","19"
"Yunsheng Bai","5"
"Hao Ding","5"
"Song Bian","5"
"Ting Chen","5"
"Yizhou Sun","5"
"Wei Wang","5"
"Rie Johnson","21"
"Tong Zhang","21"
"Qian Liu","4"
"Heyan Huang","4"
"Yang Gao","4"
"Xiaochi Wei","4"
"Yuxin Tian","4"
"Luyang Liu","4"
"Jeremy Howard","20"
"Sebastian Ruder","20"
"Qizhe Xie","3"
"Zihang Dai","3"
"Eduard Hovy","3"
"Minh-Thang Luong","3"
"Quoc V. Le","3"
"Qizhe Xie","3"
"Zihang Dai","3"
"Eduard Hovy","3"
"Minh-Thang Luong","3"
"Quoc V. Le","3"
"Qizhe Xie","3"
"Zihang Dai","3"
"Eduard Hovy","3"
"Minh-Thang Luong","3"
"Quoc V. Le","3"
"Zhilin Yang","3"
"Zihang Dai","3"
"Yiming Yang","3"
"Jaime G. Carbonell","3"
"Ruslan Salakhutdinov","3"
"Quoc V. Le","3"
