institution,counter
Google,3
Toyota Technological Institute at Chicago,1
New York University,2
Carnegie Mellon University,2
Facebook,4
University of Washington,9
Princeton University,5
Amazon.com,1
"University of California, Los Angeles",1
University of Texas at Austin,1
Microsoft,1
Baidu,1
Tsinghua University,5
Norwegian University of Science and Technology,1
Tribhuvan University,2
OpenAI,1
University of Wisconsin-Madison,1
Nvidia,1
"University of California, Berkeley",1
Seoul National University,1
University of Cambridge,1
Cardiff University,1
Salesforce.com,8
Stanford University,6
University of Massachusetts Medical School,1
Chinese Academy of Sciences,1
École Polytechnique,1
Fudan University,2
Emory University,1
Penn State College of Information Sciences and Technology,1
University of Hong Kong,1
Nanjing University of Posts and Telecommunications,1
Zhejiang University,1
University of Notre Dame,1
Duke University,1
Hong Kong University of Science and Technology,2
Beijing Institute of Technology,1
University of British Columbia,1
