"communities","year","papers","results","authors","SOTA"
1,2013,2,2,7,1
1,2015,3,3,11,2
1,2017,1,1,4,1
10,2019,1,1,6,1
11,2019,1,1,6,1
12,2018,1,1,6,1
13,2016,1,1,6,1
14,2018,1,1,6,1
15,2016,1,1,5,1
16,2018,2,2,5,1
17,2020,1,1,4,1
18,2019,1,1,4,1
19,2017,1,1,4,1
2,2015,1,1,4,1
2,2019,2,2,12,1
20,2020,1,1,4,1
21,2019,1,1,4,1
22,2018,1,1,4,1
23,2018,2,2,4,1
24,2019,2,2,3,1
25,2017,1,1,3,1
26,2020,1,1,3,1
27,2018,1,1,3,1
28,2019,1,1,3,1
29,2019,1,1,3,1
3,2019,3,3,14,3
30,2017,1,1,3,1
31,2017,1,1,2,1
32,2016,1,1,2,1
33,2018,1,1,2,1
34,2018,1,1,1,1
35,2018,1,1,1,1
36,2014,1,1,1,1
4,2018,1,1,12,1
5,2020,1,1,11,1
6,2018,1,1,10,1
7,2019,5,5,9,1
8,2019,1,1,7,1
9,2018,1,1,7,1
