"author","community"
"Chunting Zhou",2
"Chonglin Sun",2
"Zhiyuan Liu",2
"Francis C. M. Lau",2
"Xin Dong",33
"Gerard de Melo",33
"Mikhail Khodak",12
"Nikunj Saunshi",12
"Yingyu Liang",12
"Tengyu Ma",12
"Brandon M. Stewart",12
"Sanjeev Arora",12
"Zhenzhong Lan",10
"Mingda Chen",10
"Sebastian Goodman",10
"Kevin Gimpel",10
"Piyush Sharma",10
"Radu Soricut",10
"Ankit Kumar",1
"Ozan Irsoy",1
"Peter Ondruska",1
"Mohit Iyyer",1
"James Bradbury",1
"Ishaan Gulrajani",1
"Victor Zhong",1
"Romain Paulus",1
"Richard Socher",1
"Dinghan Shen",6
"Guoyin Wang",6
"Wenlin Wang",6
"Martin Renqiang Min",6
"Qinliang Su",6
"Yizhe Zhang",6
"Zhang Yizhe",6
"Chunyuan Li",6
"Ricardo Henao",6
"Lawrence Carin",6
"Manzil Zaheer",5
"Guru Guruganesh",5
"Avinava Dubey",5
"Joshua Ainslie",5
"Chris Alberti",5
"Santiago Ontañón",5
"Philip Pham",5
"Anirudh Ravula",5
"Qifan Wang",5
"Li Yang",5
"Amr Ahmed",5
"Jihun Choi",27
"Taeuk Kim",27
"Sang-goo Lee",27
"Alexei Baevski",3
"Sergey Edunov",3
"Yinhan Liu",3
"Luke Zettlemoyer",3
"Michael Auli",3
"Yoon Kim",36
"Yi Yang",35
"Victor Sanh",21
"Lysandre Debut",21
"Julien Chaumond",21
"Thomas Wolf",21
"Peng Xu",16
"Andrea Madotto",16
"Chien-Sheng Wu",16
"Ji Ho Park",16
"Pascale Fung",16
"Peng Xu",16
"Andrea Madotto",16
"Chien-Sheng Wu",16
"Ji Ho Park",16
"Pascale Fung",16
"Yu Sun",8
"Shuohuan Wang",8
"Li Yukun",8
"Shikun Feng",8
"Hao Tian",8
"Hua Wu",8
"Haifeng Wang",8
"Zhengyan Zhang",2
"Xu Han",2
"Zhiyuan Liu",2
"Xin Jiang",2
"Maosong Sun",2
"Qun Liu",2
"Bita Nejat",30
"Giuseppe Carenini",30
"Raymond T. Ng",30
"Colin Raffel",7
"Noam Shazeer",7
"Adam Roberts",7
"Katherine Lee",7
"Sharan Narang",7
"Michael Matena",7
"Yanqi Zhou",7
"Wei Li",7
"Peter J. Liu",7
"Colin Raffel",7
"Noam Shazeer",7
"Adam Roberts",7
"Katherine Lee",7
"Sharan Narang",7
"Michael Matena",7
"Yanqi Zhou",7
"Wei Li",7
"Peter J. Liu",7
"Colin Raffel",7
"Noam Shazeer",7
"Adam Roberts",7
"Katherine Lee",7
"Sharan Narang",7
"Michael Matena",7
"Yanqi Zhou",7
"Wei Li",7
"Peter J. Liu",7
"Colin Raffel",7
"Noam Shazeer",7
"Adam Roberts",7
"Katherine Lee",7
"Sharan Narang",7
"Michael Matena",7
"Yanqi Zhou",7
"Wei Li",7
"Peter J. Liu",7
"Colin Raffel",7
"Noam Shazeer",7
"Adam Roberts",7
"Katherine Lee",7
"Sharan Narang",7
"Michael Matena",7
"Yanqi Zhou",7
"Wei Li",7
"Peter J. Liu",7
"Manish Munikar",24
"Sushil Shakya",24
"Aakash Shrestha",24
"Manish Munikar",24
"Sushil Shakya",24
"Aakash Shrestha",24
"Xinliang Wang",19
"Weifeng Liu",19
"Wei Xue",19
"Li Wu",19
"Zhiting Hu",15
"Xuezhe Ma",15
"Zhengzhong Liu",15
"Eduard Hovy",15
"Eric P. Xing",15
"Kai Sheng Tai",1
"Richard Socher",1
"Christopher D. Manning",1
"Kai Sheng Tai",1
"Richard Socher",1
